propname,cssaproptype,proptype,proptypelong,state,msa_category,year_built,sqft
Property28474,OF,Office,Suburban,MI,Top 25,1986.0,84953.0
Property33264,OF,Office,Suburban,NJ,Top 25,1982.0,33190.0
Property4236,OF,Office,Suburban,MA,Boston,1977.0,55260.0
Property24285,OF,Office,,OH,26-50,1996.0,462026.0
Property12551,MU,Mixed Use,Office/Warehouse,NY,Other,1986.0,181736.0
Property408,MF,Multifamily,Conventional,CT,51-100,1883.0,
Property17799,CH,Multifamily,Cooperative,NY,NYC,1926.0,
Property23460,CH,Multifamily,Cooperative,NY,NYC,1935.0,
Property2129,MU,Mixed Use,Office/Retail,MA,Boston,2006.0,16231.0
Property20213,OF,Office,Medical,NY,NYC,1966.0,62177.0
Property7746,IN,Industrial,Warehouse,NY,NYC,1984.0,45950.0
Property32566,RT,Retail,Unanchored,CA,Top 25,1909.0,24089.0
Property34900,RT,Retail,Unanchored,NY,NYC,1968.0,14408.0
Property14242,IN,Industrial,Warehouse/Distribution,NJ,NYC,1951.0,58993.0
Property4991,MF,Multifamily,Garden,NJ,NYC,1975.0,
Property7733,RT,Retail,Anchored,NY,NYC,1965.0,21652.0
Property6743,IN,Industrial,Office/Warehouse,NY,Other,1958.0,89003.0
Property34772,MU,Mixed Use,Retail/Hospitality,NJ,NYC,1984.0,111473.0
Property16781,OF,Office,Suburban,CT,51-100,1979.0,31845.0
Property20067,OF,Office,CBD,IL,Top 25,1890.0,39177.0
Property29976,RT,Retail,Anchored,NY,NYC,1923.0,19661.0
Property10404,OF,Office,Urban,NY,NYC,1986.0,29496.0
Property24872,CH,Multifamily,Cooperative,NY,NYC,1892.0,
Property31845,OF,Office,Medical,MA,Boston,1968.0,155892.0
Property31440,OF,Office,Suburban,PA,Top 25,1999.0,44019.0
Property28020,IN,Industrial,Flex,NJ,NYC,1960.0,144008.0
Property2109,IN,Industrial,Light,NJ,NYC,1959.0,143379.0
Property31802,OF,Office,General Suburban,DE,Top 25,1988.0,39410.0
Property4147,OF,Office,CBD,OH,51-100,1973.0,145971.0
Property21383,OF,Office,CBD,MD,Top 25,1971.0,168392.0
Property28506,MF,Multifamily,Mid/High Rise,PA,51-100,1977.0,
Property27740,IN,Industrial,Warehouse,NJ,NYC,1969.0,85446.0
Property1162,RT,Retail,Unanchored,NH,Other,1997.0,9786.0
Property6323,CH,Multifamily,Cooperative,NY,NYC,1925.0,
Property17514,OF,Office,Suburban,NJ,NYC,1986.0,120550.0
Property13786,IN,Industrial,Flex,NY,NYC,1957.0,106444.0
Property12764,MF,Multifamily,Elevator,NY,NYC,1900.0,
Property32764,MF,Multifamily,High Rise,TN,26-50,1902.0,
Property29188,OF,Office,CBD,MA,Other,1904.0,223469.0
Property32985,OF,Office,Medical,CT,51-100,1963.0,21253.0
Property22955,OF,Office,Suburban,NJ,NYC,1987.0,25183.0
Property20363,OF,Office,Suburban,NY,NYC,1987.0,50625.0
Property20008,OF,Office,CBD,MD,Top 25,1891.0,179256.0
Property7336,CH,Multifamily,Cooperative,NY,NYC,1929.0,
Property11832,MF,Multifamily,Garden,NY,NYC,1952.0,
Property29219,OF,Office,Urban,NJ,NYC,1925.0,158009.0
Property20554,OF,Office,CBD,GA,Top 25,1929.0,136678.0
Property17938,RT,Retail,Free Standing,RI,26-50,1989.0,6002.0
Property632,RT,Retail,Anchored,KS,26-50,1978.0,181638.0
Property27549,OF,Office,Suburban,CT,51-100,1990.0,68205.0
Property19408,IN,Industrial,Warehouse,NJ,NYC,1931.0,198033.0
Property19138,MF,Multifamily,Mid/High Rise,NY,NYC,1986.0,
Property33326,OF,Office,CBD,CA,San Fran,1978.0,71552.0
Property7460,IN,Industrial,Warehouse/Distribution,PA,Other,1972.0,629132.0
Property33898,MU,Mixed Use,Office(55%)/Retail(45%),NY,NYC,1924.0,63314.0
Property15910,CH,Multifamily,Cooperative,NY,NYC,1966.0,
Property31782,MF,Multifamily,Mid/High Rise,MA,Boston,1907.0,
Property6736,MU,Mixed Use,Retail/Multifamily,NY,NYC,1922.0,17045.0
Property37278,OF,Office,CBD,IL,Top 25,1962.0,1095684.0
Property3066,OF,Office,Suburban,GA,Top 25,2001.0,56577.0
Property15807,OF,Office,General Urban,VT,Other,1985.0,68996.0
Property37543,OF,Office,Suburban,MI,Top 25,1986.0,198512.0
Property3100,OF,Office,Anchored,NY,51-100,1959.0,100308.0
Property12111,OF,Office,Suburban,MA,Boston,2003.0,128616.0
Property29516,OF,Office,Suburban,NJ,Other,1983.0,65991.0
Property10890,OF,Office,Suburban,FL,Top 25,1987.0,79677.0
Property16788,OF,Office,Suburban,NJ,NYC,1982.0,149109.0
Property10176,OF,Office,CBD,NY,NYC,1956.0,1099482.0
Property6927,RT,Retail,Urban,NY,NYC,1996.0,102190.0
Property28954,OF,Office,Office,NJ,NYC,1974.0,64023.0
Property2529,OF,Office,General Suburban,CA,51-100,1984.0,166588.0
Property32362,IN,Industrial,Flex,CA,LA,1957.0,92705.0
Property15622,OF,Office,CBD,FL,26-50,1976.0,84313.0
Property28911,OF,Office,CBD,MD,Top 25,1975.0,655581.0
Property30496,RT,Retail,Unanchored,IL,Top 25,1984.0,46050.0
Property13706,OT,Other,Parking Garage,IL,Top 25,1974.0,48997.0
Property18543,OF,Office,CBD,WI,26-50,1986.0,435452.0
Property33528,IN,Industrial,Flex,DE,Other,1988.0,55066.0
Property22229,OF,Office,Suburban,NJ,Other,1970.0,27598.0
Property22494,OF,Office,,MA,Boston,1906.0,120432.0
Property29256,IN,Industrial,Office/Industrial,NJ,Top 25,1986.0,60425.0
Property28389,OF,Office,Urban,NJ,NYC,2003.0,6279.0
Property24319,CH,Multifamily,Cooperative,NY,NYC,1911.0,
Property10123,OF,Office,Suburban,NH,Boston,2003.0,113020.0
Property2595,OF,Office,Suburban,TX,Top 25,1976.0,81045.0
Property11179,MF,Multifamily,Low Rise,NY,NYC,1922.0,
Property9975,OF,Office,CBD,TX,Top 25,2010.0,63141.0
Property27193,OF,Office,Urban,NY,NYC,1922.0,13918.0
Property37259,OF,Office,Office,TX,Other,1999.0,26968.0
Property26220,OF,Office,General Suburban,NY,NYC,1962.0,142048.0
Property23502,OF,Office,CBD,ME,Other,1987.0,187974.0
Property16502,OF,Office,Suburban,NY,NYC,2001.0,191827.0
Property23341,OF,Office,Office,CA,LA,1972.0,79003.0
Property14197,OF,Office,CBD,AZ,51-100,1929.0,105320.0
Property19876,OT,Other,Leased Fee,NY,NYC,1946.0,11584.0
Property540,OF,Office,Suburban,MA,Boston,1983.0,103383.0
Property3491,IN,Industrial/Warehouse,,TN,Other,1967.0,221427.0
Property32281,OF,Office,Suburban,NJ,NYC,1941.0,21666.0
Property17249,OF,Office,,CA,LA,1985.0,49765.0
Property20169,OF,Office,,NY,NYC,1982.0,96292.0
Property8355,CH,Multifamily,Cooperative,NY,NYC,1956.0,
Property18983,OF,Office,Suburban,CT,51-100,1984.0,42750.0
Property26356,IN,Industrial,Warehouse/Distribution,NY,NYC,1959.0,167723.0
Property6013,OF,Office,CBD,MA,Boston,1975.0,1057495.0
Property17390,OF,Office,Suburban,CA,San Fran,1979.0,21551.0
Property32776,OF,Office,Suburban,MA,Boston,1985.0,197009.0
Property5423,OF,Office,Suburban,NJ,NYC,2000.0,90004.0
Property20181,OF,Office,CBD,CA,LA,1984.0,193795.0
Property7279,RT,Retail,Shadow Anchored,TX,26-50,1998.0,3578.0
Property30055,OF,Office,Suburban,MI,Top 25,1972.0,32925.0
Property37848,OF,Office,Suburban,CT,51-100,1968.0,155497.0
Property23677,IN,Industrial,Warehouse,NY,NYC,1918.0,46159.0
Property29036,OF,Office,Suburban,VA,Top 25,1978.0,1069303.0
Property32435,MF,Multifamily,Mid rise,IL,Top 25,1892.0,
Property23124,OF,Office,Medical,VA,26-50,1985.0,33573.0
Property36488,OF,Office,,OR,Top 25,1989.0,267487.0
Property18471,OF,Office,CBD,WA,Top 25,1929.0,275076.0
Property28573,OF,Office,Suburban,NY,NYC,1960.0,35077.0
Property1774,OF,Office,CBD,NJ,NYC,1989.0,617189.0
Property32001,IN,Industrial,Warehouse,NC,Top 25,1963.0,117488.0
Property19749,OF,Office,Suburban,CA,LA,1974.0,27844.0
Property21066,IN,Industrial,Warehouse/Distribution,NJ,NYC,1977.0,202176.0
Property3928,OF,Office,Suburban,NY,NYC,1988.0,8405.0
Property8128,IN,Industrial,Warehouse/Distribution,IL,Other,1944.0,616207.0
Property55,OF,Office,,DC,Other,1950.0,78268.0
Property4988,RT,Retail,Unanchored,IL,Top 25,1908.0,25431.0
Property22357,IN,Industrial,Manufacturing,KY,26-50,1985.0,336359.0
Property16719,OF,Office,,MD,Top 25,1975.0,27434.0
Property6763,OF,Office,Suburban,TX,Top 25,1980.0,126855.0
Property30864,OF,Office,CBD,DC,Top 25,1954.0,219052.0
Property25128,OF,Office,,CA,Other,1973.0,27819.0
Property5100,CH,Multifamily,Coop,NY,NYC,1975.0,
Property8572,OF,Office,Suburban,NJ,NYC,1984.0,224320.0
Property25279,OF,Office,Urban,NM,51-100,1985.0,60303.0
Property21105,OF,Office,Suburban,WA,Top 25,1939.0,34439.0
Property20230,MF,Multifamily,High-Rise,NY,NYC,1925.0,
Property10555,MF,Multifamily,Multifamily/Retail,TX,Top 25,2005.0,
Property35463,IN,Industrial,Warehouse,PA,51-100,1986.0,249625.0
Property1816,MU,Mixed Use,Retail/Office,CA,LA,2003.0,43721.0
Property20323,OF,Office,Central Business District,NC,26-50,1952.0,55669.0
Property11128,OF,Office,CBD,MI,Top 25,1965.0,298550.0
Property1815,OT,Other,Theater,NY,NYC,1958.0,13175.0
Property16836,IN,Industrial,Flex,AZ,Top 25,1984.0,32153.0
Property7877,OF,Office,Suburban,MD,Top 25,1983.0,11014.0
Property23695,MU,Mixed Use,Retail/Office,NY,NYC,1929.0,27795.0
Property16112,OF,Office,Suburban,TX,Top 25,1982.0,55406.0
Property820,IN,Industrial,Warehouse,CA,26-50,1993.0,182525.0
Property3270,OF,Office,Suburban,IL,Top 25,1985.0,153204.0
Property11685,IN,Industrial,Flex,NJ,Top 25,1971.0,37433.0
Property28853,OF,Office,Medical,TX,Top 25,1987.0,11457.0
Property24561,RT,Retail,Unanchored,GA,Top 25,1913.0,20511.0
Property25872,OF,Office,Urban,CA,LA,1975.0,155475.0
Property23798,OF,Office,CBD,NY,NYC,1908.0,80847.0
Property16725,OF,Office,Urban,CA,Top 25,1965.0,310193.0
Property21249,OF,Office,CBD,NY,NYC,1986.0,436235.0
Property18392,OF,Office,Suburban,AZ,Top 25,2001.0,77969.0
Property18660,RT,Retail,Unanchored,NY,51-100,1985.0,16866.0
Property10470,IN,Industrial,Flex,NY,NYC,1985.0,53808.0
Property12372,MF,Multifamily,Manufactured Housing,MN,Other,1967.0,
Property169,MF,Multifamily,Walk-up,NY,NYC,1919.0,
Property36160,OF,Office,CBD,CA,San Fran,1915.0,29420.0
Property13905,IN,Industrial,Light Industrial,CT,26-50,1974.0,73454.0
Property6680,OF,Office,CBD,FL,Other,1982.0,109554.0
Property6093,OF,Office,,MD,Top 25,1986.0,103526.0
Property13663,CH,Multifamily,Cooperative,NJ,NYC,1955.0,
Property30878,MF,Multifamily,Walk-up,NY,Other,1967.0,
Property36620,OF,Office,Suburban,MA,Boston,1929.0,94532.0
Property24542,OF,Office,Suburban,PA,Top 25,1992.0,83303.0
Property3919,OF,Office,Urban,CA,Top 25,1978.0,390143.0
Property4338,RT,Retail,Free Standing,OH,Other,2001.0,11222.0
Property190,OF,Office,CBD,IN,26-50,1989.0,339906.0
Property37021,OF,Office,CBD,IN,26-50,1987.0,339885.0
Property17200,IN,Industrial,Warehouse/Distribution,NY,NYC,1969.0,314396.0
Property4231,MF,Multifamily,Mid/High Rise,NY,NYC,1907.0,
Property36740,OF,Office,Suburban,NY,NYC,1987.0,19767.0
Property35554,RT,Retail,Unanchored,GA,Top 25,2005.0,37850.0
Property28372,OF,Office,,CA,Top 25,1962.0,324335.0
Property10058,OF,Office,,MD,Top 25,1983.0,192750.0
Property8648,OF,Office,CBD,TX,Top 25,1980.0,94300.0
Property13764,OF,Office,Suburban,IL,Top 25,2002.0,80269.0
Property25240,OF,Office,Medical,TX,Top 25,1994.0,33131.0
Property37788,IN,Industrial,Warehouse,TX,Top 25,2001.0,151836.0
Property16729,MF,Multifamily,Conventional,PA,51-100,1909.0,
Property25198,OF,Office,Suburban,CA,LA,1962.0,208285.0
Property17616,RT,Retail,Free Standing,IL,Top 25,1954.0,8327.0
Property15304,OF,Office,CBD,CA,San Fran,1905.0,75525.0
Property8310,CH,Multifamily,Cooperative,NY,NYC,1831.0,
Property18896,OF,Office,Suburban,PA,Top 25,1978.0,81072.0
Property17577,RT,Retail,Unanchored,CA,LA,1971.0,7614.0
Property36166,CH,Multifamily,Cooperative,NY,NYC,1949.0,
Property16678,OF,Office,Urban Office,DC,Other,1983.0,107346.0
Property308,SS,Self-Storage,Self-Storage,DE,Top 25,2005.0,
Property16292,RT,Retail,Unanchored,NY,NYC,1906.0,9840.0
Property19957,IN,Industrial,Warehouse,CA,Top 25,2000.0,40623.0
Property14801,OF,Office,CBD,PA,Top 25,1920.0,132557.0
Property29381,IN,Industrial,Flex,CA,LA,1986.0,63535.0
Property27588,RT,Retail,Unanchored,AZ,Top 25,1975.0,7979.0
Property21517,MU,Mixed Use,Retail/Office,WV,Other,1987.0,10792.0
Property5631,IN,Industrial,Warehouse,MD,Top 25,2008.0,154430.0
Property2201,MF,Multifamily,Garden,OH,26-50,1968.0,
Property6324,RT,Retail,Unanchored,CA,LA,2008.0,4659.0
Property24377,OF,Office,Urban,DC,Top 25,1983.0,51181.0
Property22444,OF,Office,CBD,NC,Top 25,1926.0,27149.0
Property36677,RT,Retail,Unanchored,FL,Top 25,1933.0,15210.0
Property8017,OF,Office,Suburban,NY,NYC,1962.0,31712.0
Property18472,MF,Multifamily,Conventional,CA,LA,1962.0,
Property6068,OF,Office,Suburban,NY,NYC,1967.0,206476.0
Property6137,MF,Multifamily,Conventional,IL,Top 25,1969.0,
Property32861,MU,Mixed Use,Retail / Office,PA,Top 25,1959.0,88667.0
Property17434,OF,Office,Suburban,NY,NYC,1990.0,26381.0
Property4501,OF,Office,Suburban,NY,NYC,1970.0,72633.0
Property8473,IN,Industrial,Light,IL,Top 25,1996.0,25021.0
Property5364,MF,Multifamily,Garden,CA,LA,1957.0,
Property34014,RT,Retail,Other Retail,NY,NYC,1982.0,8648.0
Property34137,OF,Office,,MD,Top 25,1982.0,137651.0
Property2425,OF,Office,Suburban,TX,Top 25,1979.0,147950.0
Property1778,MU,Mixed Use,Office/Retail,CA,San Fran,1909.0,99747.0
Property26551,MU,Mixed Use,Multifamily/Retail,NY,NYC,1928.0,
Property35508,RT,Retail,Free Standing,CA,Other,1996.0,12300.0
Property32712,RT,Retail,Shadow Anchored,FL,26-50,1989.0,37833.0
Property23560,RT,Retail,,FL,26-50,1988.0,65114.0
Property8261,MF,Multifamily,Mid Rise,NY,NYC,1923.0,
Property1594,IN,Industrial,Light,NJ,NYC,1972.0,30328.0
Property18205,MF,Multifamily,Low Rise,NY,NYC,1891.0,
Property30076,MF,Multifamily,Urban,NY,NYC,1916.0,
Property17530,OF,Office,Suburban,NJ,Other,1986.0,65971.0
Property15821,RT,Retail,Anchored,NY,NYC,1954.0,23710.0
Property994,RT,Retail,Anchored,CA,26-50,1964.0,112275.0
Property25692,OF,Office,Suburban,VA,Top 25,1978.0,103164.0
Property25921,IN,Industrial,Warehouse,AL,Other,1994.0,228011.0
Property7664,OF,Office,Suburban,CA,26-50,1971.0,49997.0
Property1833,OT,Other,Leased Fee,TX,Top 25,2000.0,2449.0
Property15969,OF,Office,Suburban,CA,26-50,1980.0,87853.0
Property33526,IN,Industrial,Flex,CA,26-50,2004.0,24228.0
Property33392,IN,Industrial,Flex/R&D,CA,26-50,1983.0,30087.0
Property16677,CH,Multifamily,Co-op,NY,NYC,1916.0,
Property16122,RT,Retail,Unanchored,CA,Top 25,1946.0,9215.0
Property2505,RT,Retail,Unanchored,FL,Top 25,1951.0,23015.0
Property19473,MF,Multifamily,Mid/High Rise,NY,NYC,1906.0,
Property8979,OF,Office,Urban,NY,NYC,1958.0,124993.0
Property12382,MF,Multifamily,Elevator,NY,NYC,1932.0,
Property26752,MF,Multifamily,Mid-Rise,NY,NYC,1926.0,
Property2227,RT,Retail,Shadow Anchored,TX,Top 25,1999.0,3603.0
Property16997,OF,Office,Medical,GA,Top 25,2006.0,17695.0
Property28702,MU,Mixed Use,Office/Retail,IL,Top 25,1925.0,48646.0
Property33698,OF,Office,Central Business District,IL,Top 25,1929.0,316758.0
Property1975,MF,Multifamily,High-rise/Retail,NY,NYC,1986.0,
Property1134,MU,Mixed Use,Retail/Multifamily,NY,NYC,1893.0,35611.0
Property5198,MF,Multifamily,Conventional,NY,NYC,1939.0,
Property6972,MU,Mixed Use,Office/Flex,NH,Other,1993.0,330693.0
Property20493,IN,Industrial,Light Industrial,NJ,NYC,1987.0,72965.0
Property34290,OF,Office,Suburban,IL,Top 25,1986.0,54005.0
Property21303,IN,Industrial,Warehouse,TX,Top 25,1976.0,57330.0
Property26639,OF,Office,General Urban,CA,26-50,1984.0,31710.0
Property801,RT,Retail,Unanchored,CA,LA,1935.0,3813.0
Property22584,MF,Multifamily,Mid-Rise,NY,NYC,1916.0,
Property11237,OF,Office,CBD,CA,LA,1984.0,615983.0
Property24401,RT,Retail,Unanchored,WA,Top 25,1977.0,7303.0
Property9150,CH,Multifamily,Cooperative,NY,NYC,1844.0,
Property14137,OF,Office,CBD,CA,LA,1959.0,31004.0
Property23270,IN,Industrial,Light,NC,Top 25,1987.0,76855.0
Property12692,RT,Retail,Unanchored,KS,26-50,1971.0,27504.0
Property15260,OF,Office,,CA,LA,1985.0,54741.0
Property13732,IN,Industrial,Flex Industrial,CA,LA,1977.0,30898.0
Property26092,MU,Mixed Use,Multifamily/Retail,NY,NYC,1929.0,
Property32575,MU,Mixed Use,Multifamily/Retail,NY,NYC,1923.0,
Property17106,OF,Office,Suburban,UT,26-50,2000.0,73079.0
Property26228,MF,Multifamily,Mid-Rise,NJ,NYC,1951.0,
Property37549,OF,Office,,NJ,NYC,2002.0,19343.0
Property19700,OF,Office,Urban,VA,26-50,1965.0,92742.0
Property1140,IN,Industrial,Warehouse/Distribution,NC,Other,1970.0,918729.0
Property17820,IN,Industrial,Light Industrial,NJ,NYC,1977.0,55671.0
Property6808,IN,Industrial,Warehouse,NC,26-50,1991.0,165933.0
Property10897,OF,Office,Suburban,NE,51-100,1970.0,30281.0
Property30925,IN,Industrial,Warehouse,CA,LA,1985.0,17764.0
Property2556,RT,Retail,Free Standing,WI,26-50,1996.0,13968.0
Property226,IN,Industrial/Warehouse,,NY,NYC,1947.0,60912.0
Property30816,IN,Industrial,Warehouse/Distribution,GA,Top 25,1989.0,151747.0
Property28013,OF,Office,General Urban,GA,Top 25,1961.0,26099.0
Property30534,IN,Industrial,Warehouse/Distribution,OH,26-50,1997.0,362265.0
Property34135,MF,Multifamily,Conventional,MA,Boston,1902.0,
Property37675,MF,Multifamily,Elevator,NY,NYC,1920.0,
Property36705,CH,Multifamily,Cooperative,NY,NYC,1838.0,
Property145,OF,Office,CBD,NY,NYC,1900.0,53133.0
Property26230,CH,Cooperative,Cooperative,NY,NYC,1924.0,
Property35095,RT,Retail,Unanchored,CA,Top 25,2003.0,6514.0
Property37654,IN,Industrial,Warehouse/Distribution,TX,Top 25,2004.0,33602.0
Property23869,IN,Industrial,Warehouse,CA,Other,1994.0,70720.0
Property19959,MF,Multifamily,,CA,Other,1990.0,
Property13852,IN,Industrial,Light,CA,LA,1989.0,42018.0
Property8275,IN,Industrial,Office/Warehouse,CA,Top 25,1987.0,21008.0
Property11161,IN,Industrial/Warehouse,,NJ,NYC,1951.0,142350.0
Property34825,MU,Mixed Use,Retail/Office,NY,NYC,1882.0,13303.0
Property1081,CH,Multifamily,Cooperative,NY,NYC,1948.0,
Property3439,MF,Multifamily,Conventional,NY,NYC,1930.0,
Property26098,CH,Multifamily,Cooperative,NY,NYC,1923.0,
Property8414,OF,Office,Suburban,CA,LA,1955.0,158869.0
Property29905,IN,Industrial,Flex,GA,Top 25,1965.0,35978.0
Property11006,OT,Other,Land,MA,Boston,2006.0,6543.0
Property23442,RT,Retail,Free Standing,FL,Top 25,2007.0,5924.0
Property14301,RT,Retail,Single Tenant Retail,MO,Top 25,1988.0,38451.0
Property15192,OF,Office,Suburban,CA,LA,1976.0,159261.0
Property31510,OF,Office,Urban,CA,San Fran,1864.0,169540.0
Property5413,OF,Office,CBD,DC,Top 25,1972.0,149047.0
Property5529,OF,Office,CBD,NY,NYC,1925.0,135140.0
Property28285,CH,Multifamily,Cooperative,NY,NYC,1892.0,
Property26921,CH,Multifamily,Cooperative,NY,NYC,1918.0,
Property13936,MF,Multifamily,Mid Rise,NY,NYC,1911.0,
Property1674,OF,Office,CBD,NY,NYC,1934.0,2256551.0
Property6066,OF,Office,Urban,NY,NYC,1995.0,216021.0
Property21814,MF,Multifamily,Low Rise,NY,NYC,1902.0,
Property35697,CH,Multifamily,Cooperative,NY,NYC,1962.0,
Property24121,OF,Office,Urban,NY,NYC,1919.0,1029582.0
Property34469,OF,Office,CBD,NY,NYC,1928.0,943728.0
Property13392,MF,Multifamily,Low-Rise,NJ,NYC,1972.0,
Property5982,RT,Retail,Anchored,IL,Top 25,1935.0,35033.0
Property27700,MF,Multifamily,Mid Rise,NY,NYC,1900.0,
Property25631,IN,Industrial,Flex,NJ,NYC,1987.0,114256.0
Property8729,IN,Industrial,Warehouse,NY,NYC,1898.0,92124.0
Property14324,OF,Office,CBD,NY,NYC,1920.0,190723.0
Property29378,MF,Multifamily,Mid Rise,NJ,NYC,2011.0,
Property30796,OF,Office,General Suburban,NV,Other,2007.0,6738.0
Property37274,IN,Industrial,Warehouse,NJ,NYC,1984.0,117440.0
Property11630,MF,Multifamily,Garden,NJ,NYC,2003.0,
Property691,OF,Office,Suburban,CA,LA,1924.0,120589.0
Property20775,OF,Office,CBD,CA,Top 25,1973.0,325975.0
Property744,IN,Industrial,Flex,MA,Boston,1988.0,70362.0
Property17515,MU,Mixed Use,Retail/Office,NY,NYC,1920.0,102163.0
Property32844,OF,Office,CBD,OK,51-100,1971.0,473792.0
Property31029,CH,Multifamily,Cooperative,NY,NYC,1911.0,
Property11318,RT,Retail,Unanchored,CA,LA,2000.0,13556.0
Property30670,OF,Office,CBD,NY,NYC,1914.0,874719.0
Property28807,CH,Multifamily,Cooperative,NY,NYC,1927.0,
Property27989,CH,Cooperative,Cooperative,NY,NYC,1956.0,
Property11057,CH,Multifamily,Cooperative,NY,NYC,1938.0,
Property24908,IN,Industrial,Warehouse,IN,26-50,1997.0,793784.0
Property25953,OF,Office,Suburban,FL,Other,1983.0,52943.0
Property11272,IN,Industrial,Light Manufacturing,CT,Other,1970.0,323481.0
Property16320,OF,Office,Central Business District,CA,LA,1985.0,372828.0
Property7817,OF,Office,Suburban,TX,Top 25,1973.0,57159.0
Property5806,RT,Retail,Free Standing,NY,NYC,1955.0,7025.0
Property32997,OF,Office,CBD,NC,Top 25,1985.0,53010.0
Property37666,MU,Mixed Use,Office/Industrial,TX,Top 25,1983.0,52308.0
Property31604,OF,Office,Suburban,MA,Boston,1985.0,239924.0
Property22772,RT,Retail,Unanchored,CA,LA,1988.0,53872.0
Property24090,IN,Industrial,Light Industrial,CA,LA,1971.0,110002.0
Property17403,OF,Office,Suburban,TX,Top 25,2002.0,63720.0
Property32469,OF,Office,Suburban,TX,Top 25,1979.0,117418.0
Property34442,RT,Retail,Shadow Anchored,CA,LA,1983.0,13039.0
Property21344,OF,Office,Urban,DC,Top 25,2002.0,391009.0
Property18704,IN,Industrial/W'hse,Industrial/W'hse,FL,Top 25,1992.0,35992.0
Property2002,RT,Retail,Unanchored,CA,LA,1984.0,7491.0
Property15399,MU,Mixed Use,Office/Retail,NY,NYC,1923.0,19375.0
Property295,RT,Retail,Unanchored,VA,Top 25,1980.0,27026.0
Property25585,MF,Multifamily,Garden,CA,LA,1956.0,
Property15200,OF,Office,Suburban,OH,26-50,1980.0,213271.0
Property14985,RT,Retail,Unanchored,CA,LA,1977.0,10733.0
Property29463,RT,Retail,Unanchored,CA,LA,1978.0,8411.0
Property23805,MU,Mixed Use,Office/Retail/Multifamily,MS,51-100,2006.0,66694.0
Property34332,OF,Office,Suburban,CA,26-50,1978.0,62475.0
Property31565,IN,Industrial,,CT,26-50,1981.0,74156.0
Property10164,IN,Industrial,Flex,NJ,NYC,1973.0,120775.0
Property34432,IN,Industrial,Flex,NJ,NYC,1993.0,139473.0
Property15047,MF,Multifamily,Multifamily/Retail,NY,NYC,1937.0,
Property6964,OF,Office,Suburban,CT,51-100,1964.0,24236.0
Property9304,OF,Office,Urban Office,NY,NYC,1931.0,2941653.0
Property36667,OF,Office,General Urban,NY,NYC,1930.0,2941656.0
Property25999,RT,Retail,Free Standing,NY,NYC,1961.0,117622.0
Property36462,IN,Industrial/Warehouse,,DE,Other,1989.0,146487.0
Property28266,OF,Office,CBD,NY,NYC,1972.0,397663.0
Property13323,OF,Office,Urban,NM,51-100,1991.0,97739.0
Property37221,OF,Office,CBD,DC,Top 25,1981.0,254910.0
Property34855,MF,Multifamily,Mid Rise,NY,NYC,1936.0,
Property25922,OF,Office,Suburban,IL,Top 25,1986.0,120959.0
Property23642,SS,Self Storage,Self Storage,NH,Boston,2002.0,
Property23067,RT,Retail,Unanchored,SC,51-100,2003.0,25349.0
Property34593,CH,Multifamily,Cooperative,NY,NYC,1925.0,
Property9132,RT,Retail,Unanchored,NJ,NYC,1957.0,110921.0
Property18348,OF,Office,CBD,IL,Top 25,1958.0,545373.0
Property12689,OF,Office,Suburban,CA,LA,1990.0,48236.0
Property19354,IN,Industrial,Warehouse/Distribution,NY,NYC,1984.0,248014.0
Property21808,MF,Multifamily,Mid Rise,NY,NYC,1936.0,
Property29407,IN,Industrial,Warehouse,NJ,NYC,1969.0,176259.0
Property22099,OF,Office,Urban,NY,NYC,1876.0,582595.0
Property10520,CH,Multifamily,Cooperative,NY,NYC,1888.0,
Property26267,MU,Mixed Use,Retail(61%)/Office(39%),CT,51-100,1980.0,18708.0
Property28761,OF,Office,Suburban,TX,Top 25,1975.0,59361.0
Property12777,OF,Office,Suburban,TX,Top 25,1975.0,58015.0
Property24130,OF,Office,Suburban,NY,NYC,2001.0,81887.0
Property11281,MF,Multifamily,Mid Rise,NY,NYC,1932.0,
Property17583,MU,Mixed Use,Retail/Office,NY,NYC,1957.0,12486.0
Property27922,OF,Office,CBD,CT,51-100,1980.0,124081.0
Property11533,IN,Industrial,Warehouse,IL,Top 25,1998.0,106478.0
Property2469,MF,Multifamily,Student Housing,FL,Other,1985.0,
Property19630,OF,Office,Urban,DC,Top 25,1967.0,331287.0
Property5741,IN,Industrial,Industrial/Office/Warehouse,LA,51-100,1995.0,103565.0
Property332,MF,Multifamily,Mid Rise,NY,NYC,1910.0,
Property4870,RT,Retail,Unanchored,CA,LA,1994.0,7008.0
Property8410,CH,Multifamily,Cooperative,NY,NYC,1926.0,
Property14136,RT,Retail,Free Standing,KY,Other,2004.0,88401.0
Property21438,MU,Mixed Use,Retail/Office,IL,Top 25,1921.0,24524.0
Property20665,MF,Multifamily,Garden,CA,LA,1962.0,
Property11095,OF,Office,Suburban,TX,Top 25,1977.0,79427.0
Property25144,OF,Office,Suburban,TX,Top 25,1973.0,79654.0
Property17561,CH,Multifamily,Cooperative,NY,NYC,1925.0,
Property2339,OF,Office,Suburban,NV,26-50,2001.0,9819.0
Property20385,MF,Multifamily,Conventional,IL,Top 25,1916.0,
Property6115,OF,Office,Suburban,TX,Top 25,1974.0,78672.0
