loan_id,propname,linear_severity,hurdle_severity,selected_model
83090,Property35275,0.033019302203931705,0.009252221570462944,hurdle_current_state
4862,Property22831,0.4063220744020048,0.38656186489425565,hurdle_current_state
17083,Property528,0.003327090409619704,0.0016233435041546772,hurdle_current_state
12726,Property7589,0.03909593970730417,0.006048739851564163,hurdle_current_state
74373,Property3817,0.3577720771504767,0.3251089188615585,hurdle_current_state
169026,Property12019,-0.07288940509501662,0.0020715550273847404,hurdle_current_state
44637,Property7056,-0.021093853237747803,0.0010050837182911084,hurdle_current_state
33181,Property1787,0.38550743623482775,0.3382242354322071,hurdle_current_state
21345,Property2578,0.07505012080936098,0.042913782754618296,hurdle_current_state
12622,Property214,0.004192685041217795,0.0012388450585811511,hurdle_current_state
117748,Property13750,-0.009430644741738256,0.0017254649852515272,hurdle_current_state
116480,Property10851,-0.03262163201252781,0.0003338312889012208,hurdle_current_state
28458,Property24891,-0.03310510864784538,0.0008561954592311502,hurdle_current_state
59963,Property13814,0.36682906288874245,0.4445183824004684,hurdle_current_state
27452,Property18330,0.013997070619167315,0.00622033914734063,hurdle_current_state
80600,Property19631,0.004928341115456231,0.004713393327683851,hurdle_current_state
118134,Property4884,0.38465177423645874,0.48061782871508196,hurdle_current_state
51773,Property27835,-0.006704469395808946,0.0027100987152439515,hurdle_current_state
86160,Property29696,-0.015220435565166349,0.0005880040680886487,hurdle_current_state
21650,Property32444,0.0011743820960326973,0.0029507658677653584,hurdle_current_state
2049,Property37571,0.39405943291014844,0.40613403699508166,hurdle_current_state
115603,Property37682,0.0015482976902765483,0.001023038854275627,hurdle_current_state
53090,Property9092,-0.010076905921265006,0.0007936931283668856,hurdle_current_state
42929,Property15358,-0.0006756742856697945,0.002197792089286685,hurdle_current_state
171640,Property3486,0.019892502511409393,0.009841029532887435,hurdle_current_state
25393,Property35003,-0.022509056680272435,0.0013592927487775057,hurdle_current_state
19356,Property13560,-0.0549515147891419,0.0001010375724049178,hurdle_current_state
22495,Property3692,0.36899825168835076,0.3567927787984597,hurdle_current_state
44880,Property12653,-0.009980539253537299,0.0009848359791659652,hurdle_current_state
2931,Property15740,-0.006290074631984263,0.0013501132217691536,hurdle_current_state
26414,Property12214,0.37867414212769285,0.4449115473997962,hurdle_current_state
20234,Property12587,-0.018736180641282837,0.0002652166408420176,hurdle_current_state
166265,Property21714,-0.02994793448413699,0.0004819525505708603,hurdle_current_state
44452,Property11199,0.3606871825168819,0.4284940030352168,hurdle_current_state
45419,Property28327,-0.017866363670723737,0.0011573327342206084,hurdle_current_state
113612,Property17273,0.5797944451610832,0.395452529686789,hurdle_current_state
26685,Property16217,0.0004307628631751992,0.004036724342723355,hurdle_current_state
9501,Property29827,0.05801355140340459,0.01019791290574506,hurdle_current_state
12919,Property21487,0.011997854362715069,0.007809301284785393,hurdle_current_state
229951,Property37140,0.020317619080454916,0.012546261208331137,hurdle_current_state
56619,Property11767,-0.0016266706096313699,0.0010589335773244183,hurdle_current_state
16508,Property6260,-0.01120310473487339,0.0003832412494403763,hurdle_current_state
16498,Property5337,0.04626332618233047,0.07553399120375964,hurdle_current_state
47459,Property368,0.02780116462793568,0.002070933690845653,hurdle_current_state
52917,Property19588,0.392591298319334,0.48827910389177187,hurdle_current_state
51383,Property17696,0.030319023759554448,0.015356690680755522,hurdle_current_state
2563,Property35000,0.018509191892104537,0.0029446055717035095,hurdle_current_state
43073,Property31315,-0.003311925405387925,0.0006426749853132367,hurdle_current_state
24185,Property7447,0.028166537510978404,0.00911428720828882,hurdle_current_state
4335,Property9698,0.009195985349681093,0.0016810442015881796,hurdle_current_state
1869,Property1674,0.026987052955625042,0.001017242359271526,hurdle_current_state
13994,Property31405,0.36191938605664536,0.39978350500307636,hurdle_current_state
16611,Property29086,0.3644494885610423,0.3959682000497661,hurdle_current_state
7520,Property36560,0.013555593105935085,0.002281831147828239,hurdle_current_state
12423,Property27655,-0.01371593468761935,0.0010855638764406296,hurdle_current_state
8440,Property5894,0.050616232251124604,0.021084455793399143,hurdle_current_state
68164,Property34708,-0.006346890382136747,0.0013282992400963278,hurdle_current_state
26980,Property5528,0.00391702241532077,0.0014429092493832725,hurdle_current_state
19793,Property871,0.009083377532655867,0.014890632978857976,hurdle_current_state
