model,target_policy,r2,mse,rmse,mae,bias,loan_balance_weighted_mse,prediction_min,prediction_max,pct_predictions_below_zero,pct_predictions_above_one
all_zero_baseline,"severity clipped to [0, 1]",-0.12163892202539772,0.042229431891020686,0.20549800945756308,0.06767330161406923,-0.06767330161406923,0.04892355182689572,0.0,0.0,0.0,0.0
training_mean_baseline,"severity clipped to [0, 1]",-2.3059165958017047e-05,0.037650624311646994,0.1940376878641028,0.11796873707775059,0.0009317574658101813,0.04326980429330222,0.0686050590798794,0.0686050590798794,0.0,0.0
linear_origination_only,"severity clipped to [0, 1]",0.06968679050778892,0.03502606547089724,0.1871525192747809,0.11383249731180003,0.0006375532225001288,0.0405499385428404,-0.1397446329807767,0.24453022021395973,0.1002655202933367,0.0
linear_current_state,"severity clipped to [0, 1]",0.5252082045847901,0.017875795314499638,0.13370039384571625,0.06477684932160215,-0.0001281145380894112,0.02344232973506093,-0.18542312213160242,0.6732062113074054,0.31116449614363384,0.0
linear_current_state_raw_sensitivity,raw supplied severity,0.5179051931339681,0.018753150148718555,0.1369421416099462,0.06620845829731906,-6.69280031384143e-05,0.024418038534661488,-0.18378035859416053,0.6806123292987873,0.31710709318497915,0.0
hurdle_current_state,"severity clipped to [0, 1]",0.5956547181941247,0.015223501256218113,0.12338355342677611,0.04767767419489808,-0.0015927546096304896,0.018838651694678563,5.279048694615289e-05,0.9157796037703896,0.0,0.0
